Player,Team,Pos,Injury,Status,Value,Injury Weight
Daeshun Ruffin,Jackson State,G,Leg,Out,Impact Role Player,0.07
Dame Salane,Arizona State,C,Redshirt,Out For Season,Rotational Depth,0
Zion Sampaio,Florida Atlantic,G,Undisclosed,Out For Season,Rotational Depth,0
Jorge Santos,Florida International,F,Undisclosed,Out For Season,Rotational Depth,0
Richie Saunders,BYU,F,Knee,Out For Season,Impact Role Player,0
Owen Schlager,Siena,G,Ribs,Out,Rotational Depth,0.02
Jason Schofield,Marist,F,Knee,Out,Rotational Depth,0.02
Jaquan Scott,Arkansas-Pine Bluff,F,Transfer Portal,Out,Rotational Depth,0.02
Cam Scott,South Carolina,G,Redshirt,Out For Season,Impact Role Player,0
Bryant Selebangue,Western Kentucky,F,Achilles,Out For Season,Impact Role Player,0
Louie Semona,Western Kentucky,F,Back,Out,Rotational Depth,0.02
Camian Shell,Delaware State,G,Not Injury Related,Out,Key Starter/Star,0.15
Jalen Shelley,Loyola Marymount,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Jackson Shelstad,Oregon,G,Hand,Out For Season,Key Starter/Star,0
Grant Smith,East Carolina,F,Undisclosed,Out For Season,Rotational Depth,0
AJ Smith,Temple,G,Shoulder,Out For Season,Impact Role Player,0
Lukas Sotell,Maryland,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Mouhamed Sow,Rhode Island,F,Leg,Out For Season,Rotational Depth,0
Mayo Soyoye,Baylor,C,Redshirt,Out For Season,Rotational Depth,0
Pierce Spencer,Texas-San Antonio,G,Shoulder,Out For Season,Rotational Depth,0
Chance Stephens,Minnesota,G,Illness,Out,Rotational Depth,0.02
DJ Stickman,Fresno State,G,Knee,Game Time Decision,Rotational Depth,0.01
Jake Stout,Maryland-Baltimore County,G,Undisclosed,Out,Rotational Depth,0.02
Patrick Suemnick,Seton Hall,F,Shoulder,Game Time Decision,Rotational Depth,0.01
Imran Suljanovic,St. John's,F,Knee,Out For Season,Rotational Depth,0
AJ Swinton,Florida State,F,Knee,Out For Season,Rotational Depth,0
Mouhamed Sylla,Georgia Tech,C,Ankle,Game Time Decision,Rotational Depth,0.01
Chris Tadjo,Santa Clara,F,Knee,Out For Season,Rotational Depth,0
Dedan Thomas,Louisiana State,G,Foot,Out For Season,Key Starter/Star,0
Dyllan Thompson,Georgia Tech,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
JT Toppin,Texas Tech,F,Knee,Out For Season,Key Starter/Star,0
Brendan Tousignaut,Kennesaw State,G,Undisclosed,Out For Season,Rotational Depth,0
Josh Townley-Thomas,Creighton,F,Foot,Out,Rotational Depth,0.02
Mady Traore,Washington,F,Foot,Out For Season,Rotational Depth,0
JJ Traynor,Murray State,F,Undisclosed,Out,Impact Role Player,0.07
David Tubek,UTEP,F,Calf,Out,Rotational Depth,0.02
Bryson Tucker,Washington,F,Personal,Game Time Decision,Impact Role Player,0.035
Connor Turnbull,Evansville,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Ifeanyi Ufochukwu,Duke,C,Knee,Out For Season,Rotational Depth,0
Emmanuel Ugbo,Washington State,F,Suspension,Game Time Decision,Rotational Depth,0.01
Divine Ugochukwu,Michigan State,G,Foot,Out For Season,Rotational Depth,0
Robert Vaihola,Minnesota,C,Knee,Out For Season,Impact Role Player,0
Jaret Valencia,Wichita State,F,Achilles,Out For Season,Impact Role Player,0
Leonardo Van Elswyk,Colorado,C,Redshirt,Out For Season,Rotational Depth,0
Damarion Vann-Kelly,Pacific,G,Not Injury Related,Out For Season,Rotational Depth,0
Devin Vanterpool,Florida Atlantic,G,Ankle,Game Time Decision,Rotational Depth,0.01
KJ Vasser,Appalachian State,G,Foot,Out For Season,Rotational Depth,0
Jordan Vick,Jacksonville State,G,Undisclosed,Out,Rotational Depth,0.02
Bencao Vungo,Jacksonville State,F,Undisclosed,Out,Rotational Depth,0.02
Nash Walker,Marquette,G,Redshirt,Out For Season,Rotational Depth,0
Vijay Wallace,Arizona State,G,Ankle,Out For Season,Rotational Depth,0
Reggie Ward,Bethune-Cookman,F,Undisclosed,Out For Season,Rotational Depth,0
Gevonte Ware,Rutgers,C,Undisclosed,Game Time Decision,Rotational Depth,0.01
Tyreese Watson,UTEP,G,Knee,Out For Season,Impact Role Player,0
Xander Wedlow,St. Bonaventure,F,Knee,Out,Rotational Depth,0.02
Carter Welling,Clemson,F,Knee,Out For Season,Impact Role Player,0
Zamoku Weluche-Ume,North Carolina A&T,F,Transfer Portal,Out,Rotational Depth,0.02
Brandon Weston,Tennessee State,G,Undisclosed,Out,Rotational Depth,0.02
Kason Westphal,Xavier,C,Redshirt,Game Time Decision,Rotational Depth,0.01
Jack Whitbourn,Fordham,C,Back,Out,Rotational Depth,0.02
JJ White,Baylor,G,Foot,Game Time Decision,Rotational Depth,0.01
James White,New Orleans,G,Transfer Portal,Out,Impact Role Player,0.07
Sebastian Wilkins,Duke,F,Redshirt,Out For Season,Rotational Depth,0
Mason Williams,Iowa State,G,Hip,Out For Season,Rotational Depth,0
A'Meir Williams,Louisiana Tech,F,Undisclosed,Out For Season,Rotational Depth,0
Chansey Willis,Minnesota,G,Ankle,Out For Season,Rotational Depth,0
Caleb Wilson,North Carolina,F,Thumb,Out For Season,Key Starter/Star,0
Piotr Winkowski,San Diego,C,Undisclosed,Game Time Decision,Rotational Depth,0.01
Christian Wise,San Jose State,F,Undisclosed,Out,Rotational Depth,0.02
Michael Wolf,Xavier,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Aaron Womack,Syracuse,G,Redshirt,Out For Season,Rotational Depth,0
Jayshayne Woodard,East Carolina,G,Ankle,Out For Season,Rotational Depth,0
Savon Wykle,Middle Tennessee St.,F,Undisclosed,Out,Rotational Depth,0.02
Kase Wynott,Washington State,G,Hip,Game Time Decision,Rotational Depth,0.01
Abu Yarmah,South Carolina,G,Redshirt,Out For Season,Rotational Depth,0
Nathan Zulemie,Fresno State,G,Knee,Out For Season,Rotational Depth,0
L.J. Cason,Michigan,G,Knee,Out For Season,Impact Role Player,0
Casey Jones,Washington State,F,Redshirt,Out For Season,Impact Role Player,0
